IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,10-Jun-02,1069.9,65,16.51,3.23,1.35
NIFTY 50,07-Jun-02,1048.8,65,16.18,3.16,1.38
NIFTY 50,06-Jun-02,1064.35,65,16.42,3.21,1.36
NIFTY 50,05-Jun-02,1064.2,63,16.78,3.19,1.36
NIFTY 50,04-Jun-02,1045.4,63,16.48,3.13,1.38
NIFTY 50,03-Jun-02,1039.75,63,16.39,3.11,1.39
NIFTY 50,31-May-02,1028.8,64,16.19,3.07,1.39
NIFTY 50,30-May-02,1032.15,62,16.72,2.81,1.48
NIFTY 50,29-May-02,1041.65,63,16.54,2.72,1.44
NIFTY 50,28-May-02,1038.2,63,16.49,2.71,1.41
NIFTY 50,27-May-02,1062.7,63,16.88,2.78,1.33
NIFTY 50,24-May-02,1067,63,16.95,2.79,1.32
NIFTY 50,23-May-02,1026.75,63,16.31,2.68,1.5
NIFTY 50,22-May-02,1045.3,63,16.6,2.73,1.47
NIFTY 50,21-May-02,1049.2,62,16.82,2.7,1.47
NIFTY 50,20-May-02,1074.35,62,17.23,2.76,1.41
NIFTY 50,17-May-02,1090.65,62,17.49,2.81,1.39
NIFTY 50,16-May-02,1092.8,62,17.63,2.78,1.39
NIFTY 50,15-May-02,1107.8,62,17.87,2.82,1.37
NIFTY 50,14-May-02,1115.1,62,17.99,2.84,1.36
NIFTY 50,13-May-02,1119.65,62,18.16,2.86,1.36
NIFTY 50,10-May-02,1116.4,61,18.36,2.85,1.36
NIFTY 50,09-May-02,1127.6,61,18.54,2.88,1.37
NIFTY 50,08-May-02,1117.6,61,18.38,2.86,1.38
NIFTY 50,07-May-02,1110.7,61,18.26,2.84,1.39
NIFTY 50,06-May-02,1100.95,61,18.1,2.81,1.38
NIFTY 50,03-May-02,1096.95,61,18.04,2.8,1.38
NIFTY 50,02-May-02,1093.3,60,18.08,2.93,1.41
NIFTY 50,30-Apr-02,1084.5,61,17.86,2.83,1.42
NIFTY 50,29-Apr-02,1074.2,61,17.69,2.8,1.44
NIFTY 50,26-Apr-02,1097.4,61,17.9,2.83,1.41
NIFTY 50,25-Apr-02,1094.3,61,17.85,2.82,1.42
NIFTY 50,24-Apr-02,1110.6,61,18.16,2.86,1.4
NIFTY 50,23-Apr-02,1106,61,18.05,2.88,1.41
NIFTY 50,22-Apr-02,1104.15,61,18.02,2.87,1.41
NIFTY 50,19-Apr-02,1100.3,61,18.02,2.86,1.42
NIFTY 50,18-Apr-02,1129,61,18.49,2.94,1.38
NIFTY 50,17-Apr-02,1125.1,63,17.8,2.88,1.38
NIFTY 50,16-Apr-02,1118.75,63,17.7,2.86,1.39
NIFTY 50,15-Apr-02,1134.15,63,17.94,2.9,1.37
NIFTY 50,12-Apr-02,1146.5,63,18.14,2.93,1.36
NIFTY 50,11-Apr-02,1143.6,63,18.09,2.93,1.36
NIFTY 50,10-Apr-02,1138.5,63,18.01,2.91,1.37
NIFTY 50,09-Apr-02,1126.7,63,17.78,2.88,1.39
NIFTY 50,08-Apr-02,1135.25,63,17.91,2.9,1.38
NIFTY 50,05-Apr-02,1141.95,62,18.3,2.94,1.21
NIFTY 50,04-Apr-02,1145.9,62,18.36,2.95,1.33
NIFTY 50,03-Apr-02,1123.5,62,18,2.89,1.35
NIFTY 50,02-Apr-02,1136.95,62,18.22,2.93,1.33
