date,symbol,weight,in_index,source
2008-08-31,TATASTEEL,1.6605,1.0,historic_data_figshare
2008-08-31,TCS,3.0109,1.0,historic_data_figshare
2008-08-31,UNITECH,0.98029,1.0,historic_data_figshare
2008-08-31,WIPRO,2.40072,1.0,historic_data_figshare
2008-08-31,ZEEL,0.36014,1.0,historic_data_figshare
2008-10-01,ABB,0.69993,1.0,historic_data_figshare
2008-10-01,ACC,0.47995,1.0,historic_data_figshare
2008-10-01,AMBUJACEM,0.49995,1.0,historic_data_figshare
2008-10-01,BHARTIARTL,6.18938,1.0,historic_data_figshare
2008-10-01,BHEL,3.23968,1.0,historic_data_figshare
2008-10-01,BPCL,0.53995,1.0,historic_data_figshare
2008-10-01,CAIRN,1.66983,1.0,historic_data_figshare
2008-10-01,CIPLA,0.73993,1.0,historic_data_figshare
2008-10-01,DLF,2.49975,1.0,historic_data_figshare
2008-10-01,GAIL,1.43986,1.0,historic_data_figshare
2008-10-01,GRASIM,0.63994,1.0,historic_data_figshare
2008-10-01,HCLTECH,0.53995,1.0,historic_data_figshare
2008-10-01,HDFC,2.52975,1.0,historic_data_figshare
2008-10-01,HDFCBANK,2.16978,1.0,historic_data_figshare
2008-10-01,HEROMOTOCO,0.71993,1.0,historic_data_figshare
2008-10-01,HINDALCO,0.71993,1.0,historic_data_figshare
2008-10-01,HINDUNILVR,2.27977,1.0,historic_data_figshare
2008-10-01,ICICIBANK,2.47975,1.0,historic_data_figshare
2008-10-01,IDEA,0.9699,1.0,historic_data_figshare
2008-10-01,INFY,3.32967,1.0,historic_data_figshare
2008-10-01,ITC,2.94971,1.0,historic_data_figshare
2008-10-01,LT,2.9697,1.0,historic_data_figshare
2008-10-01,M&M,0.51995,1.0,historic_data_figshare
2008-10-01,MARUTI,0.82992,1.0,historic_data_figshare
2008-10-01,NATIONALUM,0.9899,1.0,historic_data_figshare
2008-10-01,NTPC,5.88941,1.0,historic_data_figshare
2008-10-01,ONGC,9.18908,1.0,historic_data_figshare
2008-10-01,PNB,0.61994,1.0,historic_data_figshare
2008-10-01,POWERGRID,1.49985,1.0,historic_data_figshare
2008-10-01,RANBAXY,0.37996,1.0,historic_data_figshare
2008-10-01,RCOM,2.85971,1.0,historic_data_figshare
2008-10-01,RELIANCE,11.77881,1.0,historic_data_figshare
