date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-11-18,21.28,3.8,1.14,1364.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-19,21.25,3.79,1.14,1361.85,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-22,21.46,3.83,1.13,1375.25,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-24,21.76,3.89,1.12,1394.95,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-25,21.98,3.92,1.11,1408.65,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-26,21.84,3.9,1.11,1399.6,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-29,21.6,3.86,1.12,1384.65,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-11-30,21.47,3.83,1.13,1376.15,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-01,21.69,3.87,1.12,1388.75,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-02,22.01,3.93,1.1,1408.85,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-03,22.15,3.95,1.09,1418.0,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-06,22.54,4.02,1.08,1442.85,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-07,22.58,4.03,1.07,1445.15,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-12-08,23.41,4.18,1.04,1438.65,61.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
